dataset,rows_loaded,benign_count,attack_count,features,total_samples,seconds
DNS,5074413,3402,5071011,72,6804,103.87
LDAP,2181542,1612,2179930,72,3224,28.86
MSSQL,4524498,2006,4522492,72,4012,84.81
NETBIOS,4094986,1707,4093279,72,3414,72.28
NTP,1217007,14365,1202642,72,28730,14.51
SNMP,5161377,1507,5159870,72,3014,100.55
SSDP,2611374,763,2610611,72,1526,37.63
SYN,1582681,392,1582289,72,784,17.17
TFTP,20107827,25247,20082580,72,50494,9122.21
UDP,1048575,1134,1047441,72,2268,10.56
UDPLAG,370605,3705,366900,72,7410,3.76

UDP,1048575,1134,1047441,72,2268,12.14
UDP,1048575,1134,1047441,72,2268,12.31
UDP,1048575,1134,1047441,72,2268,11.88
UDP,1048575,1134,1047441,72,2268,12.09
UDP,1048575,1134,1047441,72,2268,12.48
DNS,5074413,3402,5071011,72,6804,115.18
DNS,5074413,3402,5071011,72,6804,117.89
UDP,1048575,1134,1047441,72,2268,12.7
UDP,1048575,1134,1047441,72,2268,12.41
UDP,1048575,1134,1047441,72,2268,12.7
